Experiment Participant_Private_ID Consent Age Gender
1 6563282 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563283 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6563284 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6563286 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6563293 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6563294 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563296 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 "Dat zeg ik liever niet."
1 6563298 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 "Dat zeg ik liever niet."
1 6563299 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6563312 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6581319 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6581320 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581321 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581323 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581324 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581325 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6581326 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581333 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581334 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581354 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6581363 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6588702 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6588706 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6588720 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6588725 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6588778 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6594472 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594473 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594474 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594481 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6594482 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6594485 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594486 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6594487 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594493 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6594495 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6594497 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6613712 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6613735 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613736 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613780 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Vrouw/meisje
1 6626667 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626669 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626673 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
1 6626679 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
1 6626664 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626662 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626661 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626660 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626659 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6626656 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626655 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626654 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626653 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626652 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6626650 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6626648 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Vrouw/meisje
1 6626646 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626645 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626643 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6626641 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6626640 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Man/jonge
1 6626638 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6613738 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 18 Man/jonge
1 6613727 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613725 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613723 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613719 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
1 6613718 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
1 6613717 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6613715 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613713 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6613708 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6613702 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Man/jonge
1 6613699 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
1 6613698 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
1 6594522 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594479 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6594478 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594476 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6594471 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594470 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6594469 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594465 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6594464 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6594463 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594462 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594461 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6594460 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594459 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6594456 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6594455 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6588712 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6588701 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6588700 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6588696 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6588695 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6588694 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6588691 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 "Dat zeg ik liever niet."
1 6588688 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6588682 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6581328 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6581317 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Vrouw/meisje
1 6581315 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581314 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581313 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581311 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581310 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6581309 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581308 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581306 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581305 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581303 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 "Dat zeg ik liever niet."
1 6581302 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581301 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Vrouw/meisje
