Experiment Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number Zone_Name Diagramming DiagramStudySS Correct_Points Element_Number Commission Word_Count
1 92J 6563260 18.8333333333333 SSI 1 Muziek 527 1 DiagBox1 "je gaaat dingen beter onthouden" "Ingevuld maar onjuist" 1 3 0 5
1 92J 6563260 18.8333333333333 SSI 1 Muziek 527 1 DiagBox2 "kinderen die muziek spelen hebben hoger IQ" Juist 1 4 0 7
1 92J 6563260 18.8333333333333 SSI 1 Muziek 527 1 DiagBox3 "muziek kan herinneringen terug brengen" Juist 0 3 1 5
1 92J 6563260 18.8333333333333 SSI 1 Muziek 527 1 DiagBox4 "mensen met alzheimer onthouden muziek van vroeger" "Ingevuld maar onjuist" 0 3 0 7
1 92J 6563260 18.8333333333333 SSI 1 Geld 500 2 DiagBox2 "je koopt alles wat je wil met het geld" "Ingevuld maar onjuist" 0 NA 1 9
1 92J 6563260 18.8333333333333 SSI 1 Geld 500 2 DiagBox3 "je raakt gewend aan veel geld hebben" Juist 0 NA 1 7
1 92J 6563260 18.8333333333333 SSI 1 Geld 500 2 DiagBox4 "als het geld op is wil je nog steeds meer kopen maar dat kan niet" Juist 0 NA 1 15
1 92J 6563260 18.8333333333333 SSI 1 Geld 500 2 DiagBox1 "je wint de lotterij" "Ingevuld maar onjuist" 0 NA 1 4
1 92J 6563260 18.8333333333333 SSI 1 Suez 479 3 DiagBox2 ? "Niet ingevuld" 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 1 Suez 479 3 DiagBox3 "ik ben alles vergeten" "Ingevuld maar onjuist" 0 NA 1 4
1 92J 6563260 18.8333333333333 SSI 1 Suez 479 3 DiagBox4 ? "Niet ingevuld" 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 1 Suez 479 3 DiagBox1 ? "Niet ingevuld" 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 2 Beton 326 4 DiagBox2 "het gebouw wordt warmer" No_SSI 1 1 0 4
1 92J 6563260 18.8333333333333 SSI 2 Beton 326 4 DiagBox3 "de beton krimpt" No_SSI 1 3 0 3
1 92J 6563260 18.8333333333333 SSI 2 Beton 326 4 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 2 Beton 326 4 DiagBox1 "er wordt met beton gebouwd" No_SSI 0 NA 0 5
1 92J 6563260 18.8333333333333 SSI 2 Metro 276 5 DiagBox1 "het afval hoeft niet verwerkt te worde
" No_SSI 1 1 0 7
1 92J 6563260 18.8333333333333 SSI 2 Metro 276 5 DiagBox3 "het rif wordt groter" No_SSI 0 2 1 4
1 92J 6563260 18.8333333333333 SSI 2 Metro 276 5 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 2 Metro 276 5 DiagBox2 "er is meer plankton" No_SSI 1 3 0 4
1 92J 6563260 18.8333333333333 SSI 2 Botox 248 6 DiagBox3 "mensen gaan dood" No_SSI 0 NA 1 3
1 92J 6563260 18.8333333333333 SSI 2 Botox 248 6 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 2 Botox 248 6 DiagBox2 ? No_SSI 0 NA 0 0
1 92J 6563260 18.8333333333333 SSI 2 Botox 248 6 DiagBox1 ? No_SSI 0 NA 0 0
1 92J 6563274 28.85 SSI 1 Geld 550 1 DiagBox2 "mensen kunnen maar kort zich gelukkig/ongelukkig voelen" Juist 1 2 0 8
1 92J 6563274 28.85 SSI 1 Geld 550 1 DiagBox3 "daarom willen ze graag al snel meer" "Ingevuld maar onjuist" 1 4 0 7
1 92J 6563274 28.85 SSI 1 Geld 550 1 DiagBox4 ? "Niet ingevuld" 0 NA 0 0
1 92J 6563274 28.85 SSI 1 Geld 550 1 DiagBox1 "mensen winnen de loterij" "Ingevuld maar onjuist" 0 NA 1 4
1 92J 6563274 28.85 SSI 1 Suez 576 2 DiagBox2 "dat was erg onhandig voor de scheepsvaart/handel, omdat ze er niet langs konden" Juist 1 2 0 14
1 92J 6563274 28.85 SSI 1 Suez 576 2 DiagBox3 "hier moest een oplossing voor worden gevonden" Juist 1 3 0 7
1 92J 6563274 28.85 SSI 1 Suez 576 2 DiagBox4 "ergens in 1800 werd er een kanaal geopend om de weg 40% korter te maken" Juist 1 4 0 15
1 92J 6563274 28.85 SSI 1 Suez 576 2 DiagBox1 "er lag een woestijn tussen de Indische en Atlantische oceaan" Juist 1 1 0 10
1 92J 6563274 28.85 SSI 1 Botox 608 3 DiagBox3 "om rimpels weg te halen/een jongere uitstraling krijgen" Juist 2 2&3 0 9
1 92J 6563274 28.85 SSI 1 Botox 608 3 DiagBox4 "zodat ze minder hard knipperen met hun ogen" "Ingevuld maar onjuist" 0 1 0 8
1 92J 6563274 28.85 SSI 1 Botox 608 3 DiagBox2 "dit willen mensen graag" "Ingevuld maar onjuist" 0 NA 1 4
1 92J 6563274 28.85 SSI 1 Botox 608 3 DiagBox1 "daardoor kunnen spieren minder goed bewegen" Juist 1 1 0 6
1 92J 6563274 28.85 SSI 2 Muziek 528 4 DiagBox1 "muziek heeft veel voordelen" No_SSI 0 NA 1 4
1 92J 6563274 28.85 SSI 2 Muziek 528 4 DiagBox2 "als je muziek speelt heb je een hoger iq" No_SSI 1 4 0 9
1 92J 6563274 28.85 SSI 2 Muziek 528 4 DiagBox3 "mensen met alzheimer herinneren zich dingen" No_SSI 1 3 0 6
1 92J 6563274 28.85 SSI 2 Muziek 528 4 DiagBox4 "je kunt bijvoorbeeld breuken makkelijker oplossen" No_SSI 1 2 0 6
1 92J 6563274 28.85 SSI 2 Beton 530 5 DiagBox2 "daardoor droogt het beton uit" No_SSI 1 2 0 5
1 92J 6563274 28.85 SSI 2 Beton 530 5 DiagBox3 "als beton uitdroogt, krimpt het" No_SSI 1 3 0 5
1 92J 6563274 28.85 SSI 2 Beton 530 5 DiagBox4 "op die manier word het gebouw te klein voor de lift" No_SSI 0 3 0 11
1 92J 6563274 28.85 SSI 2 Beton 530 5 DiagBox1 "in die gebouwen word soms centrale warmte gebruikt" No_SSI 1 1 0 8
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox1 "het afval is opgeruimd" No_SSI 1 1 0 4
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox3 "er komt bijvoorbeeld meer plankton" No_SSI 1 3 0 5
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox4 "er komt meer leven" No_SSI 1 4 0 4
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox2 "het word een kunstmatig rif" No_SSI 1 2 0 5
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox1 "Andere manier van afval dumpen" No_SSI 1 1 0 5
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox3 "Meer soorten leefomgeving" No_SSI 0 2 1 3
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox4 "Meer soorten diertjes en plankton" No_SSI 1 3 0 5
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox2 "''Kunstmatig koraalrif''" No_SSI 1 2 0 2
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox2 "Betonkrimp door verwarming" No_SSI 1 1&3 0 3
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox3 "Beton krimpt en er komt ruimte vrij" No_SSI 1 3 0 7
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox4 "Liftschacht is te groot/klein" No_SSI 0 4 1 5
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox1 KOMO-Certificaat No_SSI 0 NA 1 2
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox1 "Beter IQ/Beter onthouden" No_SSI 2 4&3 0 4
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox2 "Hoger IQ" No_SSI 0 4 0 2
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox3 "Personen met Alzheimer onthouden hun muziek die ze vroeger hebben gespeeld" No_SSI 0 3 0 11
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox4 ? No_SSI 0 NA 0 0
