Experiment Simple_Date Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number RestudyDecision JoL Test Event_Index Response all_test_element_codings_as_one Test_Total_Correct
1 2022-06-03 nR6 6563260 18.8333333333333 SSI 1 Muziek 527 1 Nee 2 "je wordt slimmer
mensen die muziek spelen hebben vaak hoger IQ
het kan herinneringen terugbrengen" 47 "je wordt slimmer
mensen die muziek spelen hebben vaak hoger IQ
het kan herinneringen terugbrengen" "0 4 3" 2
1 2022-06-03 nR6 6563260 18.8333333333333 SSI 1 Geld 500 2 Nee 2 "ze raken gewend aan veel geld hebben en als het op is dan kan je niks meer kopen
het is gevaarlijk" 49 "ze raken gewend aan veel geld hebben en als het op is dan kan je niks meer kopen
het is gevaarlijk" "3 0 0" 1
1 2022-06-03 nR6 6563260 18.8333333333333 SSI 1 Suez 479 3 Nee 0 "omdat dat handiger is
" 51 "omdat dat handiger is
" 0 0
1 2022-06-03 nR6 6563260 18.8333333333333 SSI 2 Beton 326 4 Nee 3 "het beton krimpt en dan komt de lift vast te zitten" 86 "het beton krimpt en dan komt de lift vast te zitten" "3 4" 2
1 2022-06-03 nR6 6563260 18.8333333333333 SSI 2 Metro 276 5 Nee 1 "de afval is weg
het riff groeit
" 88 NA "0 0" 0
1 2022-06-03 nR6 6563260 18.8333333333333 SSI 2 Botox 248 6 Nee 0 "je kan dood gaan" 90 "je kan dood gaan" 0 0
1 2022-06-03 nR6 6563274 28.85 SSI 1 Geld 550 1 Ja 1 "ze kunnen maar kort geluk voelen
ze wennen snel aan luxe
ze willen steeds meer
dat maakt hun ongelukkig" 47 "ze kunnen maar kort geluk voelen
ze wennen snel aan luxe
ze willen steeds meer
dat maakt hun ongelukkig" "2 3 4 0" 3
1 2022-06-03 nR6 6563274 28.85 SSI 1 Suez 576 2 Nee 1 "ze moesten een grote omweg afleggen
dit was niet goed voor de handel
er werd een kanaal gegraven om de weg korter te maken
nu kan het transport veel sneller gebeuren" 49 "ze moesten een grote omweg afleggen
dit was niet goed voor de handel
er werd een kanaal gegraven om de weg korter te maken
nu kan het transport veel sneller gebeuren" "2 3 4 0" 3
1 2022-06-03 nR6 6563274 28.85 SSI 1 Botox 608 3 Ja 2 "spieren ontspannen zich
je rimpels kunnen weg gaan
je ogen kunnen minder hard knipperen
je gezichtsuitdrukken kan (ongewenst) veranderen" 51 "spieren ontspannen zich
je rimpels kunnen weg gaan
je ogen kunnen minder hard knipperen
je gezichtsuitdrukken kan (ongewenst) veranderen" "1 2 0 4" 3
1 2022-06-03 nR6 6563274 28.85 SSI 2 Muziek 528 4 Nee 3 "je gebruikt verschillende delen van je hersenen
daardoor heb je een hoger iq
je bent beter in wiskunde
mensen met alzheimer kunnen zich weer dingen herinneren" 86 NA "1 4 2 3" 4
1 2022-06-03 nR6 6563274 28.85 SSI 2 Beton 530 5 Ja 4 "er wordt centrale warmte gebruikt
beton droogt uit
het krimpt
de liften passen niet meer" 88 "er wordt centrale warmte gebruikt
beton droogt uit
het krimpt
de liften passen niet meer" "1 2 3 4" 4
1 2022-06-03 nR6 6563274 28.85 SSI 2 Metro 504 6 Ja 4 "?
het afval word in zee gegooid
daardoor komt er meer plankton en zeefauna
dat zorgt voor meer vissen" 90 NA "0 Given 3 4" 2
