Experiment Simple_Date Class_ID Participant_Private_ID Condition Phase Trial Zone_Name DiagramStudySS
1 2022-06-03 8hl 6563260 SSI 1 Muziek DiagBox1 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563260 SSI 1 Muziek DiagBox2 Juist
1 2022-06-03 8hl 6563260 SSI 1 Muziek DiagBox3 Juist
1 2022-06-03 8hl 6563260 SSI 1 Muziek DiagBox4 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563260 SSI 1 Geld DiagBox2 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563260 SSI 1 Geld DiagBox3 Juist
1 2022-06-03 8hl 6563260 SSI 1 Geld DiagBox4 Juist
1 2022-06-03 8hl 6563260 SSI 1 Geld DiagBox1 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563260 SSI 1 Suez DiagBox2 "Niet ingevuld"
1 2022-06-03 8hl 6563260 SSI 1 Suez DiagBox3 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563260 SSI 1 Suez DiagBox4 "Niet ingevuld"
1 2022-06-03 8hl 6563260 SSI 1 Suez DiagBox1 "Niet ingevuld"
1 2022-06-03 8hl 6563260 SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563260 SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563260 SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563260 SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563260 SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563260 SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563260 SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563260 SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563260 SSI 2 Botox DiagBox3 NA
1 2022-06-03 8hl 6563260 SSI 2 Botox DiagBox4 NA
1 2022-06-03 8hl 6563260 SSI 2 Botox DiagBox2 NA
1 2022-06-03 8hl 6563260 SSI 2 Botox DiagBox1 NA
1 2022-06-03 8hl 6563274 SSI 1 Geld DiagBox2 Juist
1 2022-06-03 8hl 6563274 SSI 1 Geld DiagBox3 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563274 SSI 1 Geld DiagBox4 "Niet ingevuld"
1 2022-06-03 8hl 6563274 SSI 1 Geld DiagBox1 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563274 SSI 1 Suez DiagBox2 Juist
1 2022-06-03 8hl 6563274 SSI 1 Suez DiagBox3 Juist
1 2022-06-03 8hl 6563274 SSI 1 Suez DiagBox4 Juist
1 2022-06-03 8hl 6563274 SSI 1 Suez DiagBox1 Juist
1 2022-06-03 8hl 6563274 SSI 1 Botox DiagBox3 Juist
1 2022-06-03 8hl 6563274 SSI 1 Botox DiagBox4 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563274 SSI 1 Botox DiagBox2 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563274 SSI 1 Botox DiagBox1 Juist
1 2022-06-03 8hl 6563274 SSI 2 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563274 SSI 2 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563274 SSI 2 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563274 SSI 2 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563274 SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563274 SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563274 SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563274 SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563274 SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563274 SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563274 SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563274 SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Metro DiagBox1 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Metro DiagBox3 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Metro DiagBox4 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Metro DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Beton DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Beton DiagBox3 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Beton DiagBox4 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Beton DiagBox1 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563275 No-SSI 1 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Botox DiagBox3 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Botox DiagBox4 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Botox DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Botox DiagBox1 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Geld DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Geld DiagBox3 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Geld DiagBox4 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Geld DiagBox1 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Suez DiagBox2 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Suez DiagBox3 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Suez DiagBox4 NA
1 2022-06-03 8hl 6563275 No-SSI 2 Suez DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Beton DiagBox2 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Beton DiagBox3 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Beton DiagBox4 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Beton DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Suez DiagBox2 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Suez DiagBox3 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Suez DiagBox4 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Suez DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Botox DiagBox3 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Botox DiagBox4 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Botox DiagBox2 NA
1 2022-06-03 8hl 6563280 No-SSI 1 Botox DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Geld DiagBox2 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Geld DiagBox3 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Geld DiagBox4 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Geld DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563280 No-SSI 2 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Botox DiagBox3 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Botox DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Botox DiagBox2 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Botox DiagBox1 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Geld DiagBox2 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Geld DiagBox3 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Geld DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Geld DiagBox1 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563282 No-SSI 1 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Suez DiagBox2 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Suez DiagBox3 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Suez DiagBox4 NA
1 2022-06-03 8hl 6563282 No-SSI 2 Suez DiagBox1 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Geld DiagBox2 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Geld DiagBox3 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Geld DiagBox4 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Geld DiagBox1 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Metro DiagBox1 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Metro DiagBox3 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Metro DiagBox4 NA
1 2022-06-03 8hl 6563283 No-SSI 1 Metro DiagBox2 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Botox DiagBox3 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Botox DiagBox4 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Botox DiagBox2 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Botox DiagBox1 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Suez DiagBox2 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Suez DiagBox3 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Suez DiagBox4 NA
1 2022-06-03 8hl 6563283 No-SSI 2 Suez DiagBox1 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Metro DiagBox1 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Metro DiagBox3 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Metro DiagBox4 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Metro DiagBox2 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Geld DiagBox2 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Geld DiagBox3 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Geld DiagBox4 NA
1 2022-06-03 8hl 6563284 No-SSI 1 Geld DiagBox1 NA
1 2022-06-03 8hl 6563284 No-SSI 2 Suez DiagBox2 NA
1 2022-06-03 8hl 6563284 No-SSI 2 Suez DiagBox3 NA
1 2022-06-03 8hl 6563284 No-SSI 2 Suez DiagBox4 NA
1 2022-06-03 8hl 6563284 No-SSI 2 Suez DiagBox1 NA
