Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
1,1655287526960,15/06/2022 10:05:26,1655287526208,2,15/06/2022 12:05:26,86110,10,task-5tuu,,22493790,BLIND,6626659,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287716725,15/06/2022 10:08:36,1655287716069,2,15/06/2022 12:08:36,86110,10,task-5tuu,,22493790,BLIND,6626659,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189444.3,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287716791,15/06/2022 10:08:36,1655287716074,2,15/06/2022 12:08:36,86110,10,task-5tuu,,22493790,BLIND,6626659,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189865,,,,,0,1,0,,,,,,,,,
1,1655287472514,15/06/2022 10:04:32,1655287471455,2,15/06/2022 12:04:31,86110,10,task-5tuu,,22493769,BLIND,6626646,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x616,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287661958,15/06/2022 10:07:41,1655287660907,2,15/06/2022 12:07:40,86110,10,task-5tuu,,22493769,BLIND,6626646,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x616,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189009.29999995232,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287662054,15/06/2022 10:07:42,1655287660924,2,15/06/2022 12:07:40,86110,10,task-5tuu,,22493769,BLIND,6626646,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x616,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189469,,,,,0,1,0,,,,,,,,,
1,1655287458145,15/06/2022 10:04:18,1655287457726,2,15/06/2022 12:04:17,86110,10,task-5tuu,,22493762,BLIND,6626679,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287648284,15/06/2022 10:07:28,1655287647840,2,15/06/2022 12:07:27,86110,10,task-5tuu,,22493762,BLIND,6626679,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189684.2,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287648356,15/06/2022 10:07:28,1655287647844,2,15/06/2022 12:07:27,86110,10,task-5tuu,,22493762,BLIND,6626679,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,190119,,,,,0,1,0,,,,,,,,,
1,1655287453610,15/06/2022 10:04:13,1655287452499,2,15/06/2022 12:04:12,86110,10,task-5tuu,,22493760,BLIND,6626661,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287643346,15/06/2022 10:07:23,1655287642330,2,15/06/2022 12:07:22,86110,10,task-5tuu,,22493760,BLIND,6626661,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189465.19999999998,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287643410,15/06/2022 10:07:23,1655287642336,2,15/06/2022 12:07:22,86110,10,task-5tuu,,22493760,BLIND,6626661,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189838,,,,,0,1,0,,,,,,,,,
1,1655287443298,15/06/2022 10:04:03,1655287441166,2,15/06/2022 12:04:01,86110,10,task-5tuu,,22493758,BLIND,6626648,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287635838,15/06/2022 10:07:15,1655287633751,2,15/06/2022 12:07:13,86110,10,task-5tuu,,22493758,BLIND,6626648,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,192266.40000000002,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287635908,15/06/2022 10:07:15,1655287633755,2,15/06/2022 12:07:13,86110,10,task-5tuu,,22493758,BLIND,6626648,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,192589,,,,,0,1,0,,,,,,,,,
1,1655287442193,15/06/2022 10:04:02,1655287440930,2,15/06/2022 12:04:00,86110,10,task-5tuu,,22493756,BLIND,6626654,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287631862,15/06/2022 10:07:11,1655287630701,2,15/06/2022 12:07:10,86110,10,task-5tuu,,22493756,BLIND,6626654,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189458.3,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287631954,15/06/2022 10:07:11,1655287630706,2,15/06/2022 12:07:10,86110,10,task-5tuu,,22493756,BLIND,6626654,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189776,,,,,0,1,0,,,,,,,,,
1,1655287427152,15/06/2022 10:03:47,1655287425803,2,15/06/2022 12:03:45,86110,10,task-5tuu,,22493745,BLIND,6626655,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1616x909,1101x814,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287616902,15/06/2022 10:06:56,1655287615635,2,15/06/2022 12:06:55,86110,10,task-5tuu,,22493745,BLIND,6626655,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1616x909,1616x791,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189443.59999999998,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287616951,15/06/2022 10:06:56,1655287615640,2,15/06/2022 12:06:55,86110,10,task-5tuu,,22493745,BLIND,6626655,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1616x909,1616x791,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189837,,,,,0,1,0,,,,,,,,,
