Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
1,1654253653051,03/06/2022 10:54:13,1654253671962,2,03/06/2022 12:54:31,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1654253655898,03/06/2022 10:54:15,1654253674824,2,03/06/2022 12:54:34,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,1,Intro,Zone2,continue_button,2648.5999994277954,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1654253685664,03/06/2022 10:54:45,1654253704641,2,03/06/2022 12:55:04,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,2,Text,advancementZone,continue_button,29790.89999961853,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
4,1654253740988,03/06/2022 10:55:40,1654253759960,2,03/06/2022 12:55:59,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox4,response_text_area,55282.10000038147,,,je loopt minder kans op ziektes,,0,1,0,,,,,,SportenNoSS,,5,,8
5,1654253741189,03/06/2022 10:55:41,1654253759962,2,03/06/2022 12:55:59,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox3,response_text_area,55282.10000038147,,,als je veel sport kom je in vorm,,0,1,0,,,,,,SportenNoSS,,5,,8
6,1654253741189,03/06/2022 10:55:41,1654253759962,2,03/06/2022 12:55:59,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox2,response_text_area,55282.10000038147,,,?,,0,1,0,,,,,,SportenNoSS,,5,,8
7,1654253741189,03/06/2022 10:55:41,1654253759963,2,03/06/2022 12:55:59,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox1,response_text_area,55282.10000038147,,,zij die denken dat je geen tijd hebt voor sport zullen tijd vinden voor ziekte,,0,1,0,,,,,,SportenNoSS,,5,,8
8,1654253741189,03/06/2022 10:55:41,1654253759963,2,03/06/2022 12:55:59,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,3,Diagram,Zone1,continue_button,55282.10000038147,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
9,1654253748643,03/06/2022 10:55:48,1654253767620,2,03/06/2022 12:56:07,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,4,Feedback,Zone1,continue_button,7439.200000762939,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
10,1654253751513,03/06/2022 10:55:51,1654253770485,2,03/06/2022 12:56:10,86110,10,task-as4t,,22261472,BLIND,6563282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x768,Passed_Trials,Study1.2 - SportenIsGezondNoSS,11,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,SportenNoSS,SportenNoSS,1,1,5,RestudyDecision,Selection1,response_dropdown,2847.2620000000024,,,Ja,,0,1,0,,,,,,SportenNoSS,,5,,8
