Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea
1,1654592598066,07/06/2022 09:03:18,1654592605961,2,07/06/2022 11:03:25,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1654592613775,07/06/2022 09:03:33,1654592621716,2,07/06/2022 11:03:41,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,1,1,1,Intro3Texts,NextButton,continue_button,15598.300000190735,,,,,0,1,0,,,,,,IntroTexts,,,,,
3,1654592620248,07/06/2022 09:03:40,1654592628170,2,07/06/2022 11:03:48,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,2,1,1,Text,advancementZone,continue_button,6381.299999237061,,,,,0,1,0,,,,,1,MetroText,,,,,
4,1654592622645,07/06/2022 09:03:42,1654592630576,2,07/06/2022 11:03:50,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,24,1,1,Text,advancementZone,continue_button,2347.699999809265,,,,,0,1,0,,,,,1,GeldText,,,,,
5,1654592623900,07/06/2022 09:03:43,1654592631848,2,07/06/2022 11:03:51,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,4,1,1,Text,advancementZone,continue_button,1145.6000003814697,,,,,0,1,0,,,,,1,MuziekText,,,,,
6,1654592625295,07/06/2022 09:03:45,1654592633229,2,07/06/2022 11:03:53,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,5,1,1,IntroDiagramCompletion,NextButton,continue_button,1316,,,,,0,1,0,,,,,,IntroDiagramCompletions,,,,,
7,1654592691385,07/06/2022 09:04:51,1654592699320,2,07/06/2022 11:04:59,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,6,1,1,Diagramming,DiagBox1,response_text_area,65970,,,mensen gaan dood,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
8,1654592691520,07/06/2022 09:04:51,1654592699327,2,07/06/2022 11:04:59,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,6,1,1,Diagramming,DiagBox3,response_text_area,65970,,,ze moeten nieuwe bouwen,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
9,1654592691520,07/06/2022 09:04:51,1654592699328,2,07/06/2022 11:04:59,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,6,1,1,Diagramming,DiagBox4,response_text_area,65970,,,ze zijn geld kwijt,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
10,1654592691520,07/06/2022 09:04:51,1654592699328,2,07/06/2022 11:04:59,86110,10,task-d7hm,,22325699,BLIND,6581320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,Study1.2 - DelayedWithoutCueSelection,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,DelayedWithoutCueSelection,DelayedWithoutCueSelection,6,1,1,Diagramming,DiagBox2,response_text_area,65970,,,ze zijn weg,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
