Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
1,1655119139588,13/06/2022 11:18:59,1655119138156,2,13/06/2022 13:18:58,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1655119149906,13/06/2022 11:19:09,1655119148541,2,13/06/2022 13:19:08,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,1,Intro,Zone2,continue_button,10169,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
3,1655119224034,13/06/2022 11:20:24,1655119222713,2,13/06/2022 13:20:22,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,2,Text,advancementZone,continue_button,74156.20000000001,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
4,1655119505010,13/06/2022 11:25:05,1655119503765,2,13/06/2022 13:25:03,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox4,response_text_area,281023.39999999997,,,hierdoor is het risico op hart- en longziektes lager,,0,1,0,,,,,,SportenWithSS,,5,,8
5,1655119505205,13/06/2022 11:25:05,1655119503769,2,13/06/2022 13:25:03,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox3,response_text_area,281023.39999999997,,,hart moet sneller kloppen om het bloed naar de spieren te transporteren,,0,1,0,,,,,,SportenWithSS,,5,,8
6,1655119505205,13/06/2022 11:25:05,1655119503769,2,13/06/2022 13:25:03,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox2,response_text_area,281023.39999999997,,,Om genoeg zuurstof op te nemen ademen wij sneller,,0,1,0,,,,,,SportenWithSS,,5,,8
7,1655119505205,13/06/2022 11:25:05,1655119503769,2,13/06/2022 13:25:03,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox1,response_text_area,281023.39999999997,,,"""zij die denken dat ze geen tijd vinden voor lichamelijke oefeningen zullen vroeg of laat tijd vinden voor ziekte""",,0,1,0,,,,,,SportenWithSS,,5,,8
8,1655119505205,13/06/2022 11:25:05,1655119503770,2,13/06/2022 13:25:03,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,Zone1,continue_button,281023.39999999997,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
9,1655119592652,13/06/2022 11:26:32,1655119591509,2,13/06/2022 13:26:31,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection1,response_dropdown,87738.18900000001,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
10,1655119592727,13/06/2022 11:26:32,1655119591511,2,13/06/2022 13:26:31,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection2,response_dropdown,87738.18900000001,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
11,1655119592727,13/06/2022 11:26:32,1655119591512,2,13/06/2022 13:26:31,86110,10,task-ewz2,,22441949,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection3,response_dropdown,87738.18900000001,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
