Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea
1,1654253890500,03/06/2022 10:58:10,1654253897968,2,03/06/2022 12:58:17,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1654253900705,03/06/2022 10:58:20,1654253908192,2,03/06/2022 12:58:28,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,1,1,1,Intro3Texts,NextButton,continue_button,10162.700000047684,,,,,0,1,0,,,,,,IntroTexts,,,,,
3,1654253968112,03/06/2022 10:59:28,1654253975636,2,03/06/2022 12:59:35,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,2,1,1,Text,advancementZone,continue_button,67394.79999995232,,,,,0,1,0,,,,,1,MetroText,,,,,
4,1654254051443,03/06/2022 11:00:51,1654254058943,2,03/06/2022 13:00:58,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,3,1,1,Text,advancementZone,continue_button,83245.39999985695,,,,,0,1,0,,,,,1,BetonText,,,,,
5,1654254137112,03/06/2022 11:02:17,1654254144624,2,03/06/2022 13:02:24,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,25,1,1,Text,advancementZone,continue_button,85608.09999990463,,,,,0,1,0,,,,,1,BotoxText,,,,,
6,1654254139958,03/06/2022 11:02:19,1654254147486,2,03/06/2022 13:02:27,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,5,1,1,IntroDiagramCompletion,NextButton,continue_button,2818.300000190735,,,,,0,1,0,,,,,,IntroDiagramCompletions,,,,,
7,1654254201320,03/06/2022 11:03:21,1654254208837,2,03/06/2022 13:03:28,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,28,1,1,Diagramming,DiagBox1,response_text_area,61268.200000047684,,,?,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
8,1654254201425,03/06/2022 11:03:21,1654254208843,2,03/06/2022 13:03:28,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,28,1,1,Diagramming,DiagBox3,response_text_area,61268.200000047684,,,daardoor veel meer plankton,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
9,1654254201425,03/06/2022 11:03:21,1654254208843,2,03/06/2022 13:03:28,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,28,1,1,Diagramming,DiagBox4,response_text_area,61268.200000047684,,,trok veel zeedieren aan zoals baars,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
10,1654254201425,03/06/2022 11:03:21,1654254208844,2,03/06/2022 13:03:28,86110,10,task-kgro,,22261538,BLIND,6563296,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x768,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,28,1,1,Diagramming,DiagBox2,response_text_area,61268.200000047684,,,zodat ze de rommel niet hoevden te verwerken,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
