Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
1,1655118864867,13/06/2022 11:14:24,1655118864319,2,13/06/2022 13:14:24,86110,10,task-qcms,,22441810,BLIND,6613713,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655119049309,13/06/2022 11:17:29,1655119048831,2,13/06/2022 13:17:28,86110,10,task-qcms,,22441810,BLIND,6613713,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,184160.8,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1655119049363,13/06/2022 11:17:29,1655119048836,2,13/06/2022 13:17:28,86110,10,task-qcms,,22441810,BLIND,6613713,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184517,,,,,0,1,0,,,,,,,,,
1,1654765563911,09/06/2022 09:06:03,1654765518567,2,09/06/2022 11:05:18,86110,10,task-qcms,,22371981,BLIND,6594472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654765748620,09/06/2022 09:09:08,1654765703240,2,09/06/2022 11:08:23,86110,10,task-qcms,,22371981,BLIND,6594472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1536x864,1519x746,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,184062.09999999963,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654765748825,09/06/2022 09:09:08,1654765703253,2,09/06/2022 11:08:23,86110,10,task-qcms,,22371981,BLIND,6594472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1536x864,1519x746,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184685,,,,,0,1,0,,,,,,,,,
1,1654765558933,09/06/2022 09:05:58,1654765557972,2,09/06/2022 11:05:57,86110,10,task-qcms,,22371978,BLIND,6594479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x577,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654765743514,09/06/2022 09:09:03,1654765742518,2,09/06/2022 11:09:02,86110,10,task-qcms,,22371978,BLIND,6594479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x577,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,183868.59999990463,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654765743584,09/06/2022 09:09:03,1654765742528,2,09/06/2022 11:09:02,86110,10,task-qcms,,22371978,BLIND,6594479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x577,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184556,,,,,0,1,0,,,,,,,,,
1,1654765550370,09/06/2022 09:05:50,1654765557637,2,09/06/2022 11:05:57,86110,10,task-qcms,,22371974,BLIND,6594487,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 102.0.1245.33,1920x1080,1920x961,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
