Participant_Private_ID,Question_Key,Response
6563282,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563282,Age,13
6563283,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563283,Age,14
6563284,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563284,Age,13
6563286,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563286,Age,14
6563293,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563293,Age,14
6563294,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563294,Age,13
6563296,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563296,Age,14
6563298,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563298,Age,14
6563299,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563299,Age,14
6563312,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563312,Age,14
6581319,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581319,Age,13
6581320,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581320,Age,13
6581321,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581321,Age,13
6581323,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581323,Age,13
6581324,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581324,Age,12
6581325,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581325,Age,13
6581326,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581326,Age,12
6581333,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581333,Age,12
6581334,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581334,Age,13
6581354,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581354,Age,13
6581363,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581363,Age,13
6588702,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588702,Age,13
6588706,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588706,Age,14
6588720,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588720,Age,13
6588725,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588725,Age,14
6588778,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588778,Age,13
6594472,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594472,Age,13
6594473,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594473,Age,13
6594474,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594474,Age,13
6594481,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594481,Age,14
6594482,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594482,Age,14
6594485,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594485,Age,13
6594486,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594486,Age,14
6594487,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594487,Age,13
6594492,Consent-2,Mijn anonieme antwoorden mogen NIET worden gebruikt voor het onderzoek
6594492,Age,14
6594493,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594493,Age,13
6594495,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594495,Age,14
6594496,Consent-2,Mijn anonieme antwoorden mogen NIET worden gebruikt voor het onderzoek
6594496,Age,18
6594497,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594497,Age,14
6594539,Consent-2,Mijn anonieme antwoorden mogen NIET worden gebruikt voor het onderzoek
6594539,Age,14
