Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
1,1670832897345,12/12/2022 08:14:57,1670832893894,1,12/12/2022 09:14:53,89483,9,task-4t5w,,25868405,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833088354,12/12/2022 08:18:08,1670833084788,1,12/12/2022 09:18:04,89483,9,task-4t5w,,25868405,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,186943,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670833088417,12/12/2022 08:18:08,1670833084801,1,12/12/2022 09:18:04,89483,9,task-4t5w,,25868405,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,190907,,,,,0,1,0,,,,,,,,,
1,1670832991758,12/12/2022 08:16:31,1670832991698,1,12/12/2022 09:16:31,89483,9,task-4t5w,,25868423,BLIND,7649918,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1336x752,1336x648,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833181993,12/12/2022 08:19:41,1670833181765,1,12/12/2022 09:19:41,89483,9,task-4t5w,,25868423,BLIND,7649918,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1336x752,1320x648,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,185171,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670833182107,12/12/2022 08:19:42,1670833181775,1,12/12/2022 09:19:41,89483,9,task-4t5w,,25868423,BLIND,7649918,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1336x752,1320x648,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,190076,,,,,0,1,0,,,,,,,,,
1,1670833014831,12/12/2022 08:16:54,1670833015384,1,12/12/2022 09:16:55,89483,9,task-4t5w,,25868432,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833201762,12/12/2022 08:20:01,1670833202345,1,12/12/2022 09:20:02,89483,9,task-4t5w,,25868432,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,185563.70000000298,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670833201857,12/12/2022 08:20:01,1670833202355,1,12/12/2022 09:20:02,89483,9,task-4t5w,,25868432,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,186971,,,,,0,1,0,,,,,,,,,
1,1670833055045,12/12/2022 08:17:35,1670833050630,1,12/12/2022 09:17:30,89483,9,task-4t5w,,25868440,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
