Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
1,1670832985080,12/12/2022 08:16:25,1670832985770,1,12/12/2022 09:16:25,89483,9,task-5tuu,,25868421,BLIND,7649909,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x726,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833179577,12/12/2022 08:19:39,1670833180218,1,12/12/2022 09:19:40,89483,9,task-5tuu,,25868421,BLIND,7649909,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x726,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190164.70000000298,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1670833179703,12/12/2022 08:19:39,1670833180224,1,12/12/2022 09:19:40,89483,9,task-5tuu,,25868421,BLIND,7649909,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x726,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,194455,,,,,0,1,0,,,,,,,,,
1,1670833057797,12/12/2022 08:17:37,1670833056926,1,12/12/2022 09:17:36,89483,9,task-5tuu,,25868439,BLIND,7649915,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833250497,12/12/2022 08:20:50,1670833248822,1,12/12/2022 09:20:48,89483,9,task-5tuu,,25868439,BLIND,7649915,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190149.60000002384,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1670833250756,12/12/2022 08:20:50,1670833248826,1,12/12/2022 09:20:48,89483,9,task-5tuu,,25868439,BLIND,7649915,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,191900,,,,,0,1,0,,,,,,,,,
1,1670833072379,12/12/2022 08:17:52,1670833072152,1,12/12/2022 09:17:52,89483,9,task-5tuu,,25868441,BLIND,7649927,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1280x720,1280x635,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833289543,12/12/2022 08:21:29,1670833289006,1,12/12/2022 09:21:29,89483,9,task-5tuu,,25868441,BLIND,7649927,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1280x720,1280x635,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,215568,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1670833289618,12/12/2022 08:21:29,1670833289016,1,12/12/2022 09:21:29,89483,9,task-5tuu,,25868441,BLIND,7649927,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1280x720,1280x635,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,216864,,,,,0,1,0,,,,,,,,,
1,1670833176659,12/12/2022 08:19:36,1670833174991,1,12/12/2022 09:19:34,89483,9,task-5tuu,,25868453,BLIND,7649933,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.70,1536x864,1536x763,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833398274,12/12/2022 08:23:18,1670833396655,1,12/12/2022 09:23:16,89483,9,task-5tuu,,25868453,BLIND,7649933,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.70,1536x864,1536x763,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,220793.29999995232,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1670833398606,12/12/2022 08:23:18,1670833396661,1,12/12/2022 09:23:16,89483,9,task-5tuu,,25868453,BLIND,7649933,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.70,1536x864,1536x763,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,221670,,,,,0,1,0,,,,,,,,,
1,1670833268544,12/12/2022 08:21:08,1670833268133,1,12/12/2022 09:21:08,89483,9,task-5tuu,,25868470,BLIND,7649923,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1280x601,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670833468631,12/12/2022 08:24:28,1670833468760,1,12/12/2022 09:24:28,89483,9,task-5tuu,,25868470,BLIND,7649923,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1280x601,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,193441.7,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
