Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
1,1670833157918,12/12/2022 08:19:17,1670833158704,1,12/12/2022 09:19:18,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670833164177,12/12/2022 08:19:24,1670833165008,1,12/12/2022 09:19:25,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,1,Intro,Zone2,continue_button,5837.099999964237,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1670833188060,12/12/2022 08:19:48,1670833188897,1,12/12/2022 09:19:48,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,2,Text,advancementZone,continue_button,23865.30000001192,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
4,1670833258902,12/12/2022 08:20:58,1670833259754,1,12/12/2022 09:20:59,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox4,response_text_area,70834.5,,,"minder kans op long- en hartziektes
",,0,1,0,,,,,,SportenNoSS,,5,,8
5,1670833259142,12/12/2022 08:20:59,1670833259756,1,12/12/2022 09:20:59,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox3,response_text_area,70834.5,,,"meer zuurstof naar de spieren, dus hart sneller kloppen",,0,1,0,,,,,,SportenNoSS,,5,,8
6,1670833259142,12/12/2022 08:20:59,1670833259756,1,12/12/2022 09:20:59,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox2,response_text_area,70834.5,,,sneller ademen,,0,1,0,,,,,,SportenNoSS,,5,,8
7,1670833259142,12/12/2022 08:20:59,1670833259756,1,12/12/2022 09:20:59,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox1,response_text_area,70834.5,,,sporten,,0,1,0,,,,,,SportenNoSS,,5,,8
8,1670833259142,12/12/2022 08:20:59,1670833259756,1,12/12/2022 09:20:59,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,Zone1,continue_button,70834.5,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
9,1670833270808,12/12/2022 08:21:10,1670833271648,1,12/12/2022 09:21:11,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,4,Feedback,Zone1,continue_button,11685,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
10,1670833279848,12/12/2022 08:21:19,1670833280684,1,12/12/2022 09:21:20,89483,9,task-as4t,,25868451,BLIND,7649914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x616,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,5,RestudyDecision,Selection1,response_dropdown,9030.894,,,Ja,,0,1,0,,,,,,SportenNoSS,,5,,8
