Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
1,1670833090204,12/12/2022 08:18:10,1670833086815,1,12/12/2022 09:18:06,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670833094675,12/12/2022 08:18:14,1670833091375,1,12/12/2022 09:18:11,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,1,Intro,Zone2,continue_button,4192,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1670833188459,12/12/2022 08:19:48,1670833186192,1,12/12/2022 09:19:46,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,2,Text,advancementZone,continue_button,93786,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
4,1670833290064,12/12/2022 08:21:30,1670833288869,1,12/12/2022 09:21:28,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox4,response_text_area,101541,,,"
?",,0,1,0,,,,,,SportenNoSS,,5,,8
5,1670833290181,12/12/2022 08:21:30,1670833288873,1,12/12/2022 09:21:28,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox3,response_text_area,101541,,,Er komt meer zuurstof in je bloed doordat je sneller ademt,,0,1,0,,,,,,SportenNoSS,,5,,8
6,1670833290181,12/12/2022 08:21:30,1670833288873,1,12/12/2022 09:21:28,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox2,response_text_area,101541,,,als je rent of actief bezig bent adem je sneller,,0,1,0,,,,,,SportenNoSS,,5,,8
7,1670833290181,12/12/2022 08:21:30,1670833288873,1,12/12/2022 09:21:28,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox1,response_text_area,101541,,,Edward Stanley was een engelse baron en zij dat sporten goed is voor je gezondheid,,0,1,0,,,,,,SportenNoSS,,5,,8
8,1670833290181,12/12/2022 08:21:30,1670833288873,1,12/12/2022 09:21:28,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,Zone1,continue_button,101541,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
9,1670833292947,12/12/2022 08:21:32,1670833291812,1,12/12/2022 09:21:31,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,4,Feedback,Zone1,continue_button,2826,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
10,1670833321570,12/12/2022 08:22:01,1670833320731,1,12/12/2022 09:22:00,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,5,RestudyDecision,Selection1,response_dropdown,28601.859999999986,,,Ja,,0,1,0,,,,,,SportenNoSS,,5,,8
11,1670833321631,12/12/2022 08:22:01,1670833320732,1,12/12/2022 09:22:00,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,5,RestudyDecision,script,force_advance,28601.859999999986,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
12,1670833324862,12/12/2022 08:22:04,1670833324078,1,12/12/2022 09:22:04,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,6,JoL1,Three,response_button_text,3301,,,3,1,0,1,0,,,,,,SportenNoSS,,5,,8
13,1670833326269,12/12/2022 08:22:06,1670833325502,1,12/12/2022 09:22:05,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,7,InstructieToets,advancementZone,continue_button,1404,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
14,1670833410563,12/12/2022 08:23:30,1670833410492,1,12/12/2022 09:23:30,89483,9,task-cobv,,25868443,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,8,Test,buttonA,response_text_area,84282,,,"Edward stanley zei in de 19e eeuw dat sporten gezond is.
Je gaat sneller ademen als je rent,
daardoor komt er meer zuurstof in je spieren en bloed,
daardoor worden je longen en je hart sterker.",,0,1,0,,,,,,SportenNoSS,,5,,8
