Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
1,1670833471767,12/12/2022 08:24:31,1670833471714,1,12/12/2022 09:24:31,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1670833474196,12/12/2022 08:24:34,1670833474191,1,12/12/2022 09:24:34,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,1,1,1,Intro3Texts,NextButton,continue_button,2403.5,,,,,0,1,0,,,,,,IntroTexts,,,,,,
3,1670833534142,12/12/2022 08:25:34,1670833534173,1,12/12/2022 09:25:34,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,10,1,1,Text,advancementZone,continue_button,59945,,,,,0,1,0,,,,2,,BetonText,,,,,,
4,1670833663082,12/12/2022 08:27:43,1670833663086,1,12/12/2022 09:27:43,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,11,1,1,Diagramming,DiagBox2,response_text_area,128864.70000000007,,,hierbij moet er goed voor de centrale verwarming gezorgd ,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
5,1670833663189,12/12/2022 08:27:43,1670833663088,1,12/12/2022 09:27:43,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,11,1,1,Diagramming,DiagBox3,response_text_area,128864.70000000007,,,als dat niet gebeurt droogt het beton uit en wordt het kleiner,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
6,1670833663189,12/12/2022 08:27:43,1670833663089,1,12/12/2022 09:27:43,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,11,1,1,Diagramming,DiagBox4,response_text_area,128864.70000000007,,,omdat de gebouwen krimpen komen liften vast te zitten,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
7,1670833663189,12/12/2022 08:27:43,1670833663089,1,12/12/2022 09:27:43,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,11,1,1,Diagramming,DiagBox1,response_text_area,128864.70000000007,,,als je wilt bouwen met beton moet je een speciale vergunning hebben,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
8,1670833663189,12/12/2022 08:27:43,1670833663089,1,12/12/2022 09:27:43,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,11,1,1,Diagramming,Zone1,continue_button,128864.70000000007,,,,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
9,1670833693220,12/12/2022 08:28:13,1670833693237,1,12/12/2022 09:28:13,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,12,1,1,DiagramStudy,Zone1,continue_button,30034.599999999977,,,,,0,1,0,,,,2,,BetonDiagramStudy,,,,,,
10,1670833700310,12/12/2022 08:28:20,1670833700338,1,12/12/2022 09:28:20,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,13,1,1,RestudyDecision,Selection1,response_dropdown,7066.2880000000005,,,Ja,,0,1,0,,,,2,,RestudyDecisionText1,,,,,,
