Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
1,1670838455998,12/12/2022 09:47:35,1670838453764,1,12/12/2022 10:47:33,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670838462379,12/12/2022 09:47:42,1670838460204,1,12/12/2022 10:47:40,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,1,Intro,Zone2,continue_button,6231,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
3,1670838490516,12/12/2022 09:48:10,1670838488354,1,12/12/2022 10:48:08,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,2,Text,advancementZone,continue_button,28134.5,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
4,1670838653522,12/12/2022 09:50:53,1670838651279,1,12/12/2022 10:50:51,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox4,response_text_area,162899.3999999999,,,Minder kans op hart- en longziektes,,0,1,0,,,,,,SportenWithSS,,5,,8
5,1670838653649,12/12/2022 09:50:53,1670838651281,1,12/12/2022 10:50:51,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox3,response_text_area,162899.3999999999,,,Je hebt meer zuurstof nodig tijdens het ademen en dus moeten je longen hader werken,,0,1,0,,,,,,SportenWithSS,,5,,8
6,1670838653649,12/12/2022 09:50:53,1670838651281,1,12/12/2022 10:50:51,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox2,response_text_area,162899.3999999999,,,Er moet meer zuurstof naar je spieren waardoor je hart sneller moet kloppen,,0,1,0,,,,,,SportenWithSS,,5,,8
7,1670838653649,12/12/2022 09:50:53,1670838651282,1,12/12/2022 10:50:51,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox1,response_text_area,162899.3999999999,,,Sporten,,0,1,0,,,,,,SportenWithSS,,5,,8
8,1670838653649,12/12/2022 09:50:53,1670838651282,1,12/12/2022 10:50:51,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,Zone1,continue_button,162899.3999999999,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
9,1670838681729,12/12/2022 09:51:21,1670838679544,1,12/12/2022 10:51:19,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection1,response_dropdown,28250.023000000016,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
10,1670838681784,12/12/2022 09:51:21,1670838679547,1,12/12/2022 10:51:19,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection2,response_dropdown,28250.023000000016,,,Ingevuld maar onjuist,,0,1,0,,,,,,SportenWithSS,,5,,8
11,1670838681784,12/12/2022 09:51:21,1670838679548,1,12/12/2022 10:51:19,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection3,response_dropdown,28250.023000000016,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
12,1670838681784,12/12/2022 09:51:21,1670838679548,1,12/12/2022 10:51:19,89483,9,task-ewz2,,25869507,BLIND,7650204,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection4,response_dropdown,28250.023000000016,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
