Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
1,1670838571900,12/12/2022 09:49:31,1670838571755,1,12/12/2022 10:49:31,89483,9,task-qcms,,25869547,BLIND,7650235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1378x762,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670838765822,12/12/2022 09:52:45,1670838765644,1,12/12/2022 10:52:45,89483,9,task-qcms,,25869547,BLIND,7650235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1378x762,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,193184,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1670838765888,12/12/2022 09:52:45,1670838765654,1,12/12/2022 10:52:45,89483,9,task-qcms,,25869547,BLIND,7650235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1378x762,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,193899,,,,,0,1,0,,,,,,,,,
1,1675422986319,03/02/2023 11:16:26,1675422986017,1,03/02/2023 12:16:26,89483,9,task-qcms,,26907746,BLIND,7992455,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1675423174523,03/02/2023 11:19:34,1675423174177,1,03/02/2023 12:19:34,89483,9,task-qcms,,26907746,BLIND,7992455,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,187117.50000000003,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1675423174569,03/02/2023 11:19:34,1675423174182,1,03/02/2023 12:19:34,89483,9,task-qcms,,26907746,BLIND,7992455,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,188165,,,,,0,1,0,,,,,,,,,
1,1675422866542,03/02/2023 11:14:26,1675422866246,1,03/02/2023 12:14:26,89483,9,task-qcms,,26907677,BLIND,7992432,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1675423054680,03/02/2023 11:17:34,1675423054358,1,03/02/2023 12:17:34,89483,9,task-qcms,,26907677,BLIND,7992432,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,187362.80000000002,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1675423054745,03/02/2023 11:17:34,1675423054363,1,03/02/2023 12:17:34,89483,9,task-qcms,,26907677,BLIND,7992432,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,188117,,,,,0,1,0,,,,,,,,,
1,1675422757141,03/02/2023 11:12:37,1675422758242,1,03/02/2023 12:12:38,89483,9,task-qcms,,26907625,BLIND,7992416,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
