Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
1,1670833414274,12/12/2022 08:23:34,1670833414154,1,12/12/2022 09:23:34,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1670833422818,12/12/2022 08:23:42,1670833422739,1,12/12/2022 09:23:42,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,1,1,1,Intro3Texts,NextButton,continue_button,8535,,,,,0,1,0,,,,,,IntroTexts,,,,,,
3,1670833495499,12/12/2022 08:24:55,1670833495402,1,12/12/2022 09:24:55,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,42,1,1,Text,advancementZone,continue_button,72624,,,,,0,1,0,,,,6,,BotoxText,,,,,,
4,1670833593765,12/12/2022 08:26:33,1670833593666,1,12/12/2022 09:26:33,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox3,response_text_area,98224,,,je gezichtsuitdrukking kan veranderen,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
5,1670833593881,12/12/2022 08:26:33,1670833593670,1,12/12/2022 09:26:33,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox4,response_text_area,98224,,,het effect eindigt na een paar maanden,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
6,1670833593881,12/12/2022 08:26:33,1670833593670,1,12/12/2022 09:26:33,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox2,response_text_area,98224,,,je huid wordt gladder,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
7,1670833593881,12/12/2022 08:26:33,1670833593670,1,12/12/2022 09:26:33,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox1,response_text_area,98224,,,Je spieren doen minder,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
8,1670833593881,12/12/2022 08:26:33,1670833593671,1,12/12/2022 09:26:33,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,Zone1,continue_button,98224,,,,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
9,1670833598100,12/12/2022 08:26:38,1670833598018,1,12/12/2022 09:26:38,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,44,1,1,DiagramStudy,Zone1,continue_button,4263,,,,,0,1,0,,,,6,,BotoxDiagramStudy,,,,,,
10,1670833604371,12/12/2022 08:26:44,1670833604282,1,12/12/2022 09:26:44,89483,9,task-x2sf,,25868498,BLIND,7649913,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1366x768,1366x643,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,45,1,1,RestudyDecision,Selection1,response_dropdown,6267.059999999998,,,Ja,,0,1,0,,,,6,,BotoxRestudyDecision,,,,,,
